Row Labels;Sum of total_revenue
airstream;R71 000,00
Aston Martin;R208 000,00
Audi;R703 600,00
Bentley;R728 500,00
BMW;R7 245 650,00
Buick;R72 400,00
Cadillac;R468 200,00
Chevrolet;R4 310 825,00
Chrysler;R469 800,00
Dodge;R1 023 850,00
Ferrari;R149 000,00
Ford;R7 010 351,00
GMC;R1 154 250,00
Honda;R185 050,00
HUMMER;R488 300,00
Hyundai;R300 700,00
Infiniti;R839 850,00
Jaguar;R37 000,00
Jeep;R1 573 300,00
Kia;R16 300,00
Lamborghini;R116 000,00
Land Rover;R1 096 100,00
Lexus;R308 650,00
Lincoln;R316 500,00
Maserati;R356 750,00
Mazda;R68 700,00
Mercedes-Benz;R3 334 200,00
Mercury;R13 800,00
MINI;R115 300,00
Mitsubishi;R29 000,00
Nissan;R1 734 300,00
null;R632 900,00
Pontiac;R20 300,00
Porsche;R1 934 600,00
Ram;R734 550,00
Rolls-Royce;R478 500,00
Saab;R15 750,00
Scion;R22 600,00
Subaru;R36 500,00
Tesla;R64 500,00
Toyota;R1 400 850,00
Volkswagen;R220 200,00
Volvo;R60 500,00
Grand Total;R40 166 976,00
